@Vailskibum,Thank God this movie was saved from being a tax write-off
@GoatAmv,"This movie is great. The animation, voice acting, writing, humor, characters and story was amazing. Immediately a top 3 favorite movie of mine."
@andrewentwistle867,"Hearing Eugene Lee Yangs voice in this has me absolutely ECSTATIC. This looks like an amazing movie, can't wait to see it!"
@refahel,"Saw it yesterday. The trailer doesn't lie, it's a truly fun movie with an unusual approach."
@misspuffsxo,Honestly? Loved this so much and have already replayed the movie about 5+ times with my kiddos Hopefully they make more of this universe as we’re absolutely in love !!
@onepresence9460,"The fact that Disney cancelled this movie, Blue Sky Studios and we almost didn’t get it blows me away. I’m super glad this project got resurrected and it looks super duper awesome   "
@_marimopeace,1:07 so shooketh omg i was hella excited for Eugene's voice acting debut but i didn't expect him to sound this different 🥹 good for him!! been a fan of ND Stevenson for years and i'm so thrilled that Nimona is finally making it to the small screen--can't wait for the end of this month!
@mollycblaeser,"I went into this movie not knowing anything & ended up loving this movie! It wasn't what I expected from the teaser but definitely still a wild, fun ride!"
@rodneypedroza4325,"everything about this movie was 10 / 10 !!! My wife and I were planning to give this movie 5 minutes, and then 90 minutes later we enjoyed every bit of it!"
@DenDarEmi,"Just finished it and was bawling at the end. There's few things that feels so bad than to feel like you don't belong, no mather where you go and how much you adapt yourself. People see something different and they ignore you or go against you"
@scandalf4209,The shapeshifting has a strong Madam Mim vs Merlin vibe from The Sword in the Stone. I like it!
@alexernst9448,Damn this is only 7 months ago? It already feels like a classic
@Cheesegoddess,“I’m not a kid…IM A SHARK!!”
@shan3622,I love Nimona’s Chaotic personality she’s so amazing
@lorenzol9391,"Nimona is so charming, adorable and enthusiastic!! I loved it soooo much!"
@phangkuanhoong7967,This movie is a miracle and the best thing this year.
@Shmurph,I'm absolutely in love with the setting! The mashup of medieval fantasy and futuristic metropolis aesthetics is such a fun idea. This looks like a blast honestly.
@DanceofLies,"Usually I don't write comments on Youtube, but I had to come here and say something about this film� Netflix, I freaking LOVED IT!! I went in with my doubts, but immediately fell in love with the characters, animation, and story. It's so wonderful to see animation that isn't rehashing their previously made animated movies, like other companies (cough cough Disney). A majority of the self reflection and character thoughts, reminded me of things that I went though or felt...I couldn't look away! "
@punkchaos1,In my opinion this is the best fairytale (or what do you call it?) that came out since my childhood. Big thumbs up!
@jamienez,"Eugene Lee Yang, you have arrived. You dropped this on your way in  "
@KevinKess,"If I'm honest, I will give this film credit for showing that it's still possible for a film/TV concept to be brought back and seen to completion in this day and age, even if it's done through someone else (though how Netflix was able to pull this off is beyond me). So on that point, I'll say: Here's hoping that this works out well for Netflix and everyone who's worked on the film as well as the graphic novel it's based on."
